model,audio_id,language,cmi_band,noise,domain,latency_s,audio_seconds,werr_strict,wlen_strict,cerr_strict,clen_strict,werr_loose,wlen_loose,cerr_loose,clen_loose,werr_numeric,wlen_numeric,cerr_numeric,clen_numeric,amount_hits,amount_total,refnum_hits,refnum_total,negation_ref,negation_kept
sahara,afriswitch_yoruba_00000,yoruba,medium,unknown,general,16.047,9.104,24,32,32,125,6,32,8,125,6,32,8,125,0,0,0,0,0,0
sahara,afriswitch_yoruba_00004,yoruba,high,unknown,general,17.172,8.32,29,34,70,150,22,34,57,150,22,34,57,150,0,0,0,0,0,0
sahara,afriswitch_yoruba_00002,yoruba,low,unknown,general,19.047,11.536,26,25,57,99,12,25,38,99,12,25,38,99,0,0,0,0,3,3
sahara,afriswitch_yoruba_00003,yoruba,medium,unknown,general,23.453,14.752,35,38,78,141,18,38,40,141,18,38,40,141,0,0,0,0,4,3
sahara,afriswitch_yoruba_00001,yoruba,low,unknown,general,34.609,9.024,14,18,37,80,8,18,28,80,8,18,28,80,0,0,0,0,0,0
sahara,afriswitch_yoruba_00006,yoruba,low,unknown,general,21.281,1.968,8,9,22,33,4,9,15,33,4,9,15,33,0,0,0,0,2,1
sahara,afriswitch_yoruba_00010,yoruba,medium,unknown,general,24.75,14.048,29,40,73,156,21,40,49,156,20,40,46,154,1,1,0,0,1,0
sahara,afriswitch_yoruba_00005,yoruba,low,unknown,general,32.656,15.424,43,43,151,169,43,43,149,169,43,43,149,169,0,0,0,0,1,0
sahara,afriswitch_yoruba_00011,yoruba,high,unknown,general,17.234,16.277,15,34,33,161,9,34,16,161,9,34,16,161,0,0,0,0,2,1
sahara,afriswitch_yoruba_00013,yoruba,high,unknown,general,10.328,6.4,12,14,26,52,7,14,19,52,7,14,17,50,0,1,0,0,1,0
sahara,afriswitch_yoruba_00012,yoruba,low,unknown,general,26.343,15.008,35,43,92,173,19,43,60,173,19,43,60,173,0,0,0,0,1,1
sahara,afriswitch_yoruba_00008,yoruba,low,unknown,general,52.312,3.228,13,12,21,46,3,12,2,46,3,12,2,46,0,0,0,0,0,0
sahara,afriswitch_yoruba_00015,yoruba,medium,unknown,general,11.61,2.7,7,8,16,29,6,8,10,29,6,8,10,29,0,0,0,0,1,0
sahara,afriswitch_yoruba_00009,yoruba,low,unknown,general,56.046,4.1,11,20,20,62,7,20,11,60,7,20,11,60,0,0,0,0,2,1
sahara,afriswitch_yoruba_00017,yoruba,medium,unknown,general,6.359,8.46,14,12,50,51,14,12,50,51,14,12,50,51,0,0,0,0,1,0
sahara,afriswitch_yoruba_00016,yoruba,medium,unknown,general,8.703,6.82,9,11,19,49,9,11,19,49,9,11,19,49,0,0,0,0,2,0
sahara,afriswitch_yoruba_00007,yoruba,low,unknown,general,61.281,15.452,36,42,96,158,29,42,77,158,29,42,77,158,0,0,0,0,5,3
sahara,afriswitch_yoruba_00014,yoruba,high,unknown,general,27.578,5.356,9,8,18,36,7,8,10,36,7,8,10,36,0,0,0,0,0,0
sahara,afriswitch_yoruba_00019,yoruba,high,unknown,general,12.516,6.692,8,11,22,57,4,11,16,57,4,11,16,57,0,0,0,0,0,0
sahara,afriswitch_yoruba_00018,yoruba,medium,unknown,general,16.718,7.44,28,31,58,108,20,31,41,108,20,31,41,108,0,0,0,0,2,1
sahara,afriswitch_yoruba_00023,yoruba,low,unknown,general,8.782,15.591,32,35,103,152,24,35,78,152,24,35,78,152,0,0,0,0,0,0
sahara,afriswitch_yoruba_00020,yoruba,high,unknown,general,17.891,12.856,24,35,53,132,20,35,48,132,20,35,46,130,0,1,0,0,2,2
sahara,afriswitch_yoruba_00022,yoruba,high,unknown,general,17.781,7.552,17,20,45,81,15,20,33,81,15,20,33,81,0,0,0,0,0,0
sahara,afriswitch_yoruba_00024,yoruba,high,unknown,general,12.719,17.472,34,42,82,173,23,42,57,173,23,42,57,173,0,0,0,0,4,3
sahara,afriswitch_yoruba_00021,yoruba,high,unknown,general,26.094,17.152063,28,33,89,150,24,33,82,150,24,33,82,150,0,0,0,0,2,0
whisper_large_v3,afriswitch_yoruba_00000,yoruba,medium,unknown,general,37.5,,35,32,77,125,35,32,77,125,35,32,77,125,0,0,0,0,0,0
whisper_large_v3,afriswitch_yoruba_00001,yoruba,low,unknown,general,6.078,,16,18,44,80,16,18,44,80,16,18,44,80,0,0,0,0,0,0
whisper_large_v3,afriswitch_yoruba_00002,yoruba,low,unknown,general,4.484,,21,25,46,99,21,25,46,99,21,25,46,99,0,0,0,0,3,0
whisper_large_v3,afriswitch_yoruba_00003,yoruba,medium,unknown,general,4.469,,35,38,50,141,35,38,50,141,35,38,50,141,0,0,0,0,4,0
whisper_large_v3,afriswitch_yoruba_00004,yoruba,high,unknown,general,3.625,,30,34,62,150,30,34,58,150,30,34,58,150,0,0,0,0,0,0
whisper_large_v3,afriswitch_yoruba_00005,yoruba,low,unknown,general,8.344,,42,43,127,169,42,43,126,169,42,43,126,169,0,0,0,0,1,0
whisper_large_v3,afriswitch_yoruba_00006,yoruba,low,unknown,general,0.922,,5,9,10,33,5,9,10,33,5,9,10,33,0,0,0,0,2,2
whisper_large_v3,afriswitch_yoruba_00007,yoruba,low,unknown,general,5.719,,40,42,66,158,40,42,66,158,40,42,66,158,0,0,0,0,5,0
whisper_large_v3,afriswitch_yoruba_00008,yoruba,low,unknown,general,3.672,,12,12,26,46,11,12,23,46,11,12,23,46,0,0,0,0,0,0
whisper_large_v3,afriswitch_yoruba_00009,yoruba,low,unknown,general,1.187,,20,20,35,62,17,20,22,60,17,20,22,60,0,0,0,0,2,0
whisper_large_v3,afriswitch_yoruba_00010,yoruba,medium,unknown,general,4.656,,29,40,57,156,28,40,52,156,28,40,52,154,1,1,0,0,1,0
